遊戲名稱,開發商,主題類型,軸數x列數,支付線數/方式,RTP,Volatility,特色機制,買分功能,連線方式,最大倍數,發行時間,資料來源連結
Sweet Bonanza,Pragmatic Play,糖果,6x5,集群支付,96.51%,高,Tumbling Reels、免費旋轉、隨機倍數,有,集群,"21,100x",2019年6月27日,https://slotcatalog.com/en/slots/Sweet-Bonanza
Starburst,NetEnt,太空,5x3,10固定線,96.09%,低,擴展Wild、重轉,無,左右皆可,500x,2012年6月,https://slotcatalog.com/en/slots/Starburst
Gonzo's Quest,NetEnt,探險,5x3,20固定線,95.97%,中高,滾落連擊、乘倍,無,左→右,"2,500x",2011年11月,https://slotcatalog.com/en/slots/Gonzo-s-Quest
Big Bass Splash,Pragmatic Play,釣魚,5x3,10固定線,96.71%,高,免費旋轉、魚獎金,無,左→右,"5,000x",2022年6月,https://slotcatalog.com/en/slots/Big-Bass-Splash
Power of Thor Megaways,Pragmatic Play,北歐神話,6x變動,"117,649",96.55%,高,Megaways、乘倍、買分,有,任意,"5,000x",2021年3月,https://slotcatalog.com/en/slots/Power-of-Thor-Megaways
Fruit Party,Pragmatic Play,水果,7x7,集群,96.47%,高,Cluster Pay、乘倍,有,集群,"5,000x",2020年5月,https://slotcatalog.com/en/slots/Fruit-Party
Book of Dead,Play'n GO,埃及,5x3,10可調整線,96.21%,高,免費旋轉、擴展符號,無,左→右,"5,000x",2016年1月14日,https://slotcatalog.com/en/slots/Book-of-Dead
Bonanza Megaways,Big Time Gaming,採礦,6x變動,"117,649",96%,高,Cascading Reels、免費旋轉、無限倍數,無,任意,"26,000x",2016年12月7日,https://slotcatalog.com/en/slots/Bonanza
Starlight Princess,Pragmatic Play,動漫/魔法少女,6x5,集群支付,96.50%,高,Tumble、倍數星星,有,集群,"5,000x",2021年9月,https://slotcatalog.com/en/slots/Starlight-Princess
The Dog House Megaways,Pragmatic Play,寵物,6x變動,"117,649",96.55%,高,Sticky Wild、免費旋轉,有,左→右,"12,305x",2020年7月,https://slotcatalog.com/en/slots/The-Dog-House-Megaways
